Origin State,Airport Name,year,Cost Total $
Arizona,PHOENIX SKY HARBOR,1990,0
Arizona,PHOENIX SKY HARBOR,1991,0
Arizona,PHOENIX SKY HARBOR,1992,0
Arizona,PHOENIX SKY HARBOR,1993,0
Arizona,PHOENIX SKY HARBOR,1994,0
Arizona,PHOENIX SKY HARBOR,1995,0
Arizona,PHOENIX SKY HARBOR,1996,0
Arizona,PHOENIX SKY HARBOR,1997,0
Arizona,PHOENIX SKY HARBOR,1998,0
Arizona,PHOENIX SKY HARBOR,1999,0
Arizona,PHOENIX SKY HARBOR,2000,66818
Arizona,PHOENIX SKY HARBOR,2001,260
Arizona,PHOENIX SKY HARBOR,2002,0
California,LOS ANGELES INTERNATIONAL,1990,0
California,LOS ANGELES INTERNATIONAL,1991,0
California,LOS ANGELES INTERNATIONAL,1992,0
California,LOS ANGELES INTERNATIONAL,1993,145609
California,LOS ANGELES INTERNATIONAL,1994,0
California,LOS ANGELES INTERNATIONAL,1995,457389
California,LOS ANGELES INTERNATIONAL,1996,0
California,LOS ANGELES INTERNATIONAL,1997,0
California,LOS ANGELES INTERNATIONAL,1998,89453
California,LOS ANGELES INTERNATIONAL,1999,45004
California,LOS ANGELES INTERNATIONAL,2000,801820
California,LOS ANGELES INTERNATIONAL,2001,0
California,LOS ANGELES INTERNATIONAL,2002,0
California,METRO OAKLAND INTERNATIONAL,1990,0
California,METRO OAKLAND INTERNATIONAL,1991,0
California,METRO OAKLAND INTERNATIONAL,1992,0
California,METRO OAKLAND INTERNATIONAL,1993,0
California,METRO OAKLAND INTERNATIONAL,1994,0
California,METRO OAKLAND INTERNATIONAL,1995,304926
California,METRO OAKLAND INTERNATIONAL,1996,0
California,METRO OAKLAND INTERNATIONAL,1997,0
California,METRO OAKLAND INTERNATIONAL,1998,0
California,METRO OAKLAND INTERNATIONAL,1999,0
California,METRO OAKLAND INTERNATIONAL,2000,87532
California,METRO OAKLAND INTERNATIONAL,2001,42302
California,METRO OAKLAND INTERNATIONAL,2002,0
California,MINETA SAN JOSE INTERNATIONAL,1990,0
California,MINETA SAN JOSE INTERNATIONAL,1991,0
California,MINETA SAN JOSE INTERNATIONAL,1992,0
California,MINETA SAN JOSE INTERNATIONAL,1993,0
California,MINETA SAN JOSE INTERNATIONAL,1994,0
California,MINETA SAN JOSE INTERNATIONAL,1995,0
California,MINETA SAN JOSE INTERNATIONAL,1996,0
California,MINETA SAN JOSE INTERNATIONAL,1997,0
California,MINETA SAN JOSE INTERNATIONAL,1998,0
California,MINETA SAN JOSE INTERNATIONAL,1999,0
California,MINETA SAN JOSE INTERNATIONAL,2000,26727
California,MINETA SAN JOSE INTERNATIONAL,2001,0
California,MINETA SAN JOSE INTERNATIONAL,2002,0
California,SACRAMENTO INTERNATIONAL,1990,0
California,SACRAMENTO INTERNATIONAL,1991,0
California,SACRAMENTO INTERNATIONAL,1992,0
California,SACRAMENTO INTERNATIONAL,1993,321433
California,SACRAMENTO INTERNATIONAL,1994,46961
California,SACRAMENTO INTERNATIONAL,1995,0
California,SACRAMENTO INTERNATIONAL,1996,0
California,SACRAMENTO INTERNATIONAL,1997,251144
California,SACRAMENTO INTERNATIONAL,1998,7044
California,SACRAMENTO INTERNATIONAL,1999,47061
California,SACRAMENTO INTERNATIONAL,2000,418283
California,SACRAMENTO INTERNATIONAL,2001,13016
California,SACRAMENTO INTERNATIONAL,2002,0
California,SAN FRANCISCO INTERNATIONAL AIRPORT,1990,0
California,SAN FRANCISCO INTERNATIONAL AIRPORT,1991,0
California,SAN FRANCISCO INTERNATIONAL AIRPORT,1992,0
California,SAN FRANCISCO INTERNATIONAL AIRPORT,1993,0
California,SAN FRANCISCO INTERNATIONAL AIRPORT,1994,0
California,SAN FRANCISCO INTERNATIONAL AIRPORT,1995,1529205
