Airport Name,Flight Date,Origin State,year
BARKSDALE AIR FORCE BASE AIRPORT,1990-01-08,Louisiana,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-01-09,Louisiana,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-01-11,Louisiana,1990
NEW ORLEANS INTERNATIONAL,1990-01-11,Louisiana,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-01-12,Louisiana,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-02-02,Louisiana,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-02-06,Louisiana,1990
WASHINGTON DULLES INTERNATIONAL AIRPORT,1990-02-22,DC,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-03-01,Louisiana,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-03-02,Louisiana,1990
WASHINGTON DULLES INTERNATIONAL AIRPORT,1990-03-03,DC,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-03-08,Louisiana,1990
RONALD REAGAN WASHINGTON NATL,1990-03-09,DC,1990
CHARLESTON AFB/INTL AIRPORT,1990-03-09,South Carolina,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-03-09,Louisiana,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-03-13,Louisiana,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-03-19,Louisiana,1990
LAMBERT-ST LOUIS INTERNATIONAL,1990-03-22,Missouri,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-04-04,Louisiana,1990
LAGUARDIA NY,1990-04-07,New York,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-04-07,Louisiana,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-04-09,Louisiana,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-04-15,Louisiana,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-04-16,Louisiana,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-04-18,Louisiana,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-04-19,Louisiana,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-04-19,Louisiana,1990
NEW ORLEANS INTERNATIONAL,1990-04-19,Louisiana,1990
CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT,1990-04-20,North Carolina,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-04-23,Louisiana,1990
CHARLESTON AFB/INTL AIRPORT,1990-04-23,South Carolina,1990
CHARLESTON AFB/INTL AIRPORT,1990-04-24,South Carolina,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-04-25,Louisiana,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-04-25,Louisiana,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-04-26,Louisiana,1990
LOS ANGELES INTERNATIONAL,1990-04-27,California,1990
