Airport Name,Flight Date,Origin State,Phase of flight,Time of day
BARKSDALE AIR FORCE BASE ARPT,08-01-90,Louisiana,Climb,Day
BARKSDALE AIR FORCE BASE ARPT,09-01-90,Louisiana,Approach,Night
BARKSDALE AIR FORCE BASE ARPT,11-01-90,Louisiana,Take-off run,Day
NEW ORLEANS INTL,11-01-90,Louisiana,Take-off run,Day
BARKSDALE AIR FORCE BASE ARPT,12-01-90,Louisiana,Climb,Day
BARKSDALE AIR FORCE BASE ARPT,02-02-90,Louisiana,Take-off run,Day
BARKSDALE AIR FORCE BASE ARPT,06-02-90,Louisiana,Climb,Dusk
WASHINGTON DULLES INTL ARPT,22-02-90,DC,Approach,Night
BARKSDALE AIR FORCE BASE ARPT,01-03-90,Louisiana,Climb,Day
BARKSDALE AIR FORCE BASE ARPT,02-03-90,Louisiana,Take-off run,Dusk
WASHINGTON DULLES INTL ARPT,03-03-90,DC,Climb,Day
BARKSDALE AIR FORCE BASE ARPT,08-03-90,Louisiana,Approach,Night
RONALD REAGAN WASHINGTON NATL,09-03-90,DC,Approach,Night
CHARLESTON AFB/INTL ARPT,09-03-90,South Carolina,Approach,Night
BARKSDALE AIR FORCE BASE ARPT,09-03-90,Louisiana,Take-off run,Night
BARKSDALE AIR FORCE BASE ARPT,13-03-90,Louisiana,Approach,Day
BARKSDALE AIR FORCE BASE ARPT,19-03-90,Louisiana,Approach,Dusk
LAMBERT-ST LOUIS INTL,22-03-90,Missouri,Climb,Day
BARKSDALE AIR FORCE BASE ARPT,04-04-90,Louisiana,Approach,Night
LAGUARDIA NY,07-04-90,New York,Take-off run,Day
BARKSDALE AIR FORCE BASE ARPT,07-04-90,Louisiana,Take-off run,Dusk
BARKSDALE AIR FORCE BASE ARPT,09-04-90,Louisiana,Approach,Day
BARKSDALE AIR FORCE BASE ARPT,15-04-90,Louisiana,Climb,Day
BARKSDALE AIR FORCE BASE ARPT,16-04-90,Louisiana,Climb,Dawn
BARKSDALE AIR FORCE BASE ARPT,18-04-90,Louisiana,Take-off run,Day
BARKSDALE AIR FORCE BASE ARPT,19-04-90,Louisiana,Approach,Day
BARKSDALE AIR FORCE BASE ARPT,19-04-90,Louisiana,Take-off run,Night
NEW ORLEANS INTL,19-04-90,Louisiana,Approach,Day
CHARLOTTE/DOUGLAS INTL ARPT,20-04-90,North Carolina,Approach,Day
BARKSDALE AIR FORCE BASE ARPT,23-04-90,Louisiana,Approach,Dawn
CHARLESTON AFB/INTL ARPT,23-04-90,South Carolina,Take-off run,Night
CHARLESTON AFB/INTL ARPT,24-04-90,South Carolina,Approach,Day
BARKSDALE AIR FORCE BASE ARPT,25-04-90,Louisiana,Approach,Dusk
BARKSDALE AIR FORCE BASE ARPT,25-04-90,Louisiana,Approach,Night
BARKSDALE AIR FORCE BASE ARPT,26-04-90,Louisiana,Approach,Night
LOS ANGELES INTL,27-04-90,California,Climb,Day
CHICAGO O'HARE INTL ARPT,27-04-90,Illinois,Approach,Night
PORTLAND INTL (OR),28-04-90,Oregon,Approach,Night
WASHINGTON DULLES INTL ARPT,29-04-90,DC,Approach,Night
FORT LAUDERDALE/HOLLYWOOD INTL,30-04-90,Florida,Take-off run,Day
CHICAGO O'HARE INTL ARPT,01-05-90,Illinois,Climb,Night
HOUSTON-HOBBY,01-05-90,Texas,Approach,Day
CHICAGO O'HARE INTL ARPT,02-05-90,Illinois,Approach,Night
SAN ANTONIO INTL,03-05-90,Texas,Descent,Night
SACRAMENTO INTL,05-05-90,California,Approach,Night
WILL ROGERS WORLD ARPT,05-05-90,Oklahoma,Approach,Day
ATLANTA INTL,05-05-90,Georgia,Approach,Night
INDIANAPOLIS INTL,07-05-90,Indiana,Descent,Day
DALLAS/FORT WORTH INTL ARPT,07-05-90,Texas,Descent,Day
KANSAS CITY INTL,08-05-90,Missouri,Approach,Night
MINETA SAN JOSE INTL,08-05-90,California,Take-off run,Day
METRO OAKLAND INTL,10-05-90,California,Approach,Day
BARKSDALE AIR FORCE BASE ARPT,10-05-90,Louisiana,Approach,Night
CHICAGO O'HARE INTL ARPT,11-05-90,Illinois,Climb,Night
NASHVILLE INTL,13-05-90,Tennessee,Approach,Day
DALLAS/FORT WORTH INTL ARPT,13-05-90,Texas,Approach,Day
NASHVILLE INTL,13-05-90,Tennessee,Climb,Day
MINNEAPOLIS-ST PAUL INTL,13-05-90,Minnesota,Landing Roll,Day
PORTLAND INTL (OR),14-05-90,Oregon,Descent,Night
LAMBERT-ST LOUIS INTL,14-05-90,Missouri,Approach,Night
CHICAGO O'HARE INTL ARPT,15-05-90,Illinois,Take-off run,Day
CHICAGO O'HARE INTL ARPT,15-05-90,Illinois,Climb,Day
DALLAS/FORT WORTH INTL ARPT,15-05-90,Texas,Landing Roll,Day
SALT LAKE CITY INTL,15-05-90,Utah,Landing Roll,Day
HONOLULU INTL ARPT,16-05-90,Hawaii,Landing Roll,Day
AUSTIN-BERGSTROM INTL,16-05-90,Texas,Approach,Day
DALLAS/FORT WORTH INTL ARPT,18-05-90,Texas,Approach,Night
LAMBERT-ST LOUIS INTL,19-05-90,Missouri,Approach,Night
RONALD REAGAN WASHINGTON NATL,20-05-90,DC,Approach,Night
SACRAMENTO INTL,22-05-90,California,Approach,Night
CHICAGO O'HARE INTL ARPT,22-05-90,Illinois,Approach,Night
SAN FRANCISCO INTL ARPT,23-05-90,California,Take-off run,Day
CHARLESTON AFB/INTL ARPT,24-05-90,South Carolina,Approach,Day
HOUSTON-HOBBY,24-05-90,Texas,Approach,Night
LAMBERT-ST LOUIS INTL,26-05-90,Missouri,Descent,Day
HOUSTON-HOBBY,26-05-90,Texas,Take-off run,Day
CLEVELAND-HOPKINS INTL ARPT,26-05-90,Ohio,Climb,Night
NASHVILLE INTL,26-05-90,Tennessee,Approach,Day
SACRAMENTO INTL,27-05-90,California,Approach,Day
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,27-05-90,Kentucky,Climb,Night
DALLAS/FORT WORTH INTL ARPT,27-05-90,Texas,Approach,Day
LOUISVILLE INTL ARPT,29-05-90,Kentucky,Approach,Night
BARKSDALE AIR FORCE BASE ARPT,29-05-90,Louisiana,Take-off run,Night
BARKSDALE AIR FORCE BASE ARPT,29-05-90,Louisiana,Take-off run,Night
CHICAGO O'HARE INTL ARPT,29-05-90,Illinois,Climb,Day
NEW ORLEANS INTL,30-05-90,Louisiana,Approach,Day
LAMBERT-ST LOUIS INTL,30-05-90,Missouri,Landing Roll,Day
LAMBERT-ST LOUIS INTL,31-05-90,Missouri,Approach,Day
LOUISVILLE INTL ARPT,31-05-90,Kentucky,Take-off run,Day
BARKSDALE AIR FORCE BASE ARPT,01-06-90,Louisiana,Approach,Day
DALLAS/FORT WORTH INTL ARPT,01-06-90,Texas,Landing Roll,Day
DALLAS/FORT WORTH INTL ARPT,04-06-90,Texas,Descent,Night
WILL ROGERS WORLD ARPT,05-06-90,Oklahoma,Climb,Day
LAMBERT-ST LOUIS INTL,06-06-90,Missouri,Approach,Night
GREATER PITTSBURGH,07-06-90,Pennsylvania,Landing Roll,Day
BARKSDALE AIR FORCE BASE ARPT,07-06-90,Louisiana,Take-off run,Day
CHICAGO O'HARE INTL ARPT,07-06-90,Illinois,Approach,Day
METRO OAKLAND INTL,08-06-90,California,Approach,Day
NASHVILLE INTL,09-06-90,Tennessee,Approach,Day
BALTIMORE WASH INTL,09-06-90,Maryland,Take-off run,Day
GREATER PITTSBURGH,11-06-90,Pennsylvania,Landing Roll,Day
BARKSDALE AIR FORCE BASE ARPT,12-06-90,Louisiana,Take-off run,Day
WILL ROGERS WORLD ARPT,12-06-90,Oklahoma,Approach,Day
SAN ANTONIO INTL,14-06-90,Texas,Approach,Night
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,14-06-90,Kentucky,Landing Roll,Day
NASHVILLE INTL,14-06-90,Tennessee,Landing Roll,Dusk
WILL ROGERS WORLD ARPT,17-06-90,Oklahoma,Climb,Night
LOGAN INTL,18-06-90,Massachusetts,Approach,Dawn
BARKSDALE AIR FORCE BASE ARPT,19-06-90,Louisiana,Take-off run,Night
GREATER PITTSBURGH,19-06-90,Pennsylvania,Approach,Day
SAN FRANCISCO INTL ARPT,20-06-90,California,Take-off run,Day
ORLANDO INTL,21-06-90,Florida,Approach,Day
BARKSDALE AIR FORCE BASE ARPT,22-06-90,Louisiana,Approach,Day
HOUSTON-HOBBY,23-06-90,Texas,Approach,Day
CLEVELAND-HOPKINS INTL ARPT,23-06-90,Ohio,Landing Roll,Day
CLEVELAND-HOPKINS INTL ARPT,23-06-90,Ohio,Landing Roll,Day
MINETA SAN JOSE INTL,23-06-90,California,Take-off run,Dusk
PORT COLUMBUS INTL,23-06-90,Ohio,Climb,Day
